153000001001010102001   5310 #0001    N 049948 DCACCDEADABAAAACAEBECADEEBADEA                                                            
153000002001010102001   5310 #0001    N 049947 EEACAEEECDBAEEAEDEBECADEEBADEA                                                            
153000003001010102001   5310 #0001    N 049946 ACACEDEADAAADABCDEBECAEEBEADEA                                                            
153000004001010102001   5310 #0001    N 049945 ECABEDEAB BADBAAB BECADEEBADEA                                                            
153000005001010102001   5310 #0001    N 049944 DCACCDCABDBAAAACCABECADEEBADEA                                                            
153000006001010102001   5310 #0001    N 049941 EEACCDEBDEAEABDCEEBECADEEBADEA                                                            
153000007001010102001   5310 #0001    N 049940 BCACCAEA AAAAADADABECADEEBADEA                                                            
153000008001010102001   5310 #0001    N 049939 BCDBCCEABEAAAEBAAABECADEEBADEA                                                            
153000009001010102001   5310 #0001    N 049938 BCACCDCAEEBAAEBCDEBECADEEBADEA                                                            
153000010001010102001   5310 #0001    N 049937 DCABEDCEDAAADEBCDEBECADEEBAEEA                                                            
153000011001010102001   5310 #0001    N 049942 DDACDBBAAEBBAABCCABBCCDBECBBCD                                                            
153000012001010102001   5310 #0001    N 049943 DCACCCEADEAAEDDCADBECADEEBADEA                                                            

