059000001001010102001   5310 #0001    N 099370QECBEEEDAEDDBDACDEADD  C BD AACDBACCA AE DBDBEDB BCEDCB BCEBC
059000002001010102001   5310 #0001    N 099368QCBDCAECACEDBACBCCEDABCEBACDABEAEBDCCDB ADECDABEDBCABACEADBCC
059000003001010102001   5310 #0001    N 099366QEDCDCDAACCBCBDBDABCAECEBCDEEACEBBABDCBEAACEAEDCCEBCBECADDDDE
059000004001010102001   5310 #0001    N 099365 E D                             DE AB DC  DE E  C    AAB DBC
059000005001010102001   5310 #0001    N 099364QBDB              DCDBECBBDD EDBCCDAABBDDCAC CC       B BBDED
059000006001010102001   5310 #0001    N 099363QECEAACCABDAE EBDABCECBCDBAECA EBDCBAEBDDDCBACEEC E          
059000007001010102001   5310 #0001    N 099362QCDABBDDACBABAABDADADAACBCDBBECBCDCBDBEDDDADAEEEDBADACBABCCEB
059000008001010102001   5310 #0001    N 099334QCDABDDDABBABAABDADADAACC EBBEBBCDCADBDDDDADAEEECCEBADAAEBEBC
059000009001010102001   5310 #0001    N 099335QEDBCEDBAB ABB            CEB  EA   AEBDDECEBAA        A* DBC
059000010001010102001   5310 #0001    N 099336QACEBEDBABCABBDABBBECCBCAEAEEADDEDADEDDCCDCAAAABECDADADAABBBC
059000011001010102001   5310 #0001    N 099337QEAADADABCCBBBAAECABAABBCEACAAEBAABADBBAADAADBDEABEDABECBBCB 
059000012001010102001   5310 #0001    N 099338QABBBCDCBDACECBCAEEBDABCCCCEAB BECECCDBCDABDABDADCACCDCCAAD  
059000013001010102001   5310 #0001    N 099339QCBDADEAABDCCEBEBCBCEECACEDBBACBCDAEADACCBDBACBBCACEBACACBEEC
059000014001010102001   5310 #0001    N 099340QCCECDDBABAADDCDECCCCCCCCCCCCCC         EDEDAADDDDABECDAAAEAC
059000015001010102001   5310 #0001    N 099341QBCBCDDBACDEDBCCDAEDACDCBAEEACCBBDACCBABDBBDACBCDAECCBADCADBA
059000016001010102001   5310 #0001    N 099342QACEBCADC DCBCDCBB EA    AABAADEBEDCECADAB DA  C  EC AADECDAC
059000017001010102001   5310 #0001    N 099343QAEDBCBCADABECBDBEDBECBBCECEDBEEBDBBEEADDBEBABEBDADDCCEEBDBBC
059000018001010102001   5310 #0001    N 099344QBDAECCBAAABBEAEAADCE ACBECE BAEDCEBEDBDAAC A C       E    B 
059000019001010102001   5310 #0001    N 099345QBCEDADDACCCDBEDBEDCABBDCEEDBACECDEAEDBDAAECEBCEBDABCADAABDBD
059000020001010102001   5310 #0001    N 099346QCCEBCCEDCBDBACCEACEADC   DED  BCEEBDCDCDCBDACBECCECAACADBDCD
059000021001010102001   5310 #0001    N 099347QABDBCECDADBCBDBCAECEEEAECABAEDEBDACAECAEDBDEADCDAECCEEEA BBC
059000022001010102001   5310 #0001    N 099322QACECCDCBDEABDAEAADEEBCCEB EAE EAAECADDBCBCDACEBECDDDACACBE C
059000023001010102001   5310 #0001    N 099323Q A CDBECDC AE BEEAA    E A BAD CCAEABADDEBBECEBECEDDDEAD  CA
059000024001010102001   5310 #0001    N 099324QACCDEBDBDAEDACBCCDEDCBCEECEBDEDCDEACDBDCCECAADCCCBBBAEECDCBD
059000025001010102001   5310 #0001    N 099327QBDBDCEABDEDBCDBADDBDADCEACEDABEBDADABADDDDDEDDEEECDBEDDBEDBC
059000026001010102001   5310 #0001    N 099328QCBBAADCBCACBDECADBEDAABDEEEBADCCDAAAEEAEDCDBAABBCCAA AEDC BC
059000027001010102001   5310 #0001    N 099329QBCDDADBBCBCEBC AEBECBBEAC  B DDDDCADBADDBAACCBEDBC  ABACCD C
059000028001010102001   5310 #0001    N 099330QEBEDEEBDCAABAECCEBDCBBAEACCCEECBDBBCDDDEEDACDEEBCEACDBBACBBC
059000029001010102001   5310 #0001    N 099331QADCBACDBBE*EDCEBAEBECAABDEEEADACACEEDCCBAAEEAEBECEADCBBCBBBD
059000030001010102001   5310 #0001    N 099332QCCDCDCBCACEDAACCEDDEBBACEECAEDBDDACADDAADEEACBEBCECAAAEABEBC
059000031001010102001   5310 #0001    N 099333QBCDBCADBAECBDEBCEDBDDCABBDCDBDEECBBCDBABCADAACBDCBDCACDEADBC
059000032001010102001   5310 #0001    N 099321QEDECEDBDACABADBDEDAEAACEBDBBEEEABCEDEBDDEAAAEDEBCEBBACDCBEBC
059000033001010102001   5310 #0001    N 099320QABDBCACBBCACDDADEABCBCCEBECCADBDCDAABAADBBDADEDACBDDEEABBDBA
059000034001010102001   5310 #0001    N 099302QACABAECBAA       DC DB  CDE EDA          B    B      AD     
059000035001010102001   5310 #0001    N 099303QBDCBADBDDBBDACCCEDECCABCEDECECDEECADBCBCACAEDEBDEDCCDDDCBBBC
059000036001010102001   5310 #0001    N 099304QDCBDACCDCCCEBACDCDEACCBCEEEDDEABAEEAAADCBAAABDDDBCCCDDDACDBA
059000037001010102001   5310 #0001    N 099305QE AA             BEEA B E E E ACEEAADBADD E   B  E AEBAAD BB
059000038001010102001   5310 #0001    N 099306QACECACCDACEBDCAECDBCDCBCCDCCEECABCAABCDCBCDBBCEECECEDCEBAABC
059000039001010102001   5310 #0001    N 099307QBBDCEBDACBCABEACDDCECDAEAAEDACCBDEDAEACDDDEACBBDCEBDCBBEDCBC
059000040001010102001   5310 #0001    N 099308QDCDCBCBBDCAEADCCCDCEEACECAEBCAEBDAAACAEEACDADDECCCBCACDEBCBC
059000041001010102001   5310 #0001    N 099309QBDDCAEEEADABCDBCECCDCCAEEEEBACBCEECCCBDABAADAAECCCABCDEBCDBC
059000042001010102001   5310 #0001    N 099310QEBDBC DDECBDCADBBACBCDCCDACBCECBBCACDADABBAEDD   EBBCBDDCCBC
059000043001010102001   5310 #0001    N 099311QEAE    AABAB   AAAAE  A ADE AB BB BADAADD DD E  CC CAAD  E C
059000044001010102001   5310 #0001    N 099312 CC    E     DECB                 C D AE D  A D B CDC A EBE  
059000045001010102001   5310 #0001    N 099313QDDBBEADDDCEDACEDCDBECBADEECEADDEBBCDDDCDEDCDCACEAEDCCEDDBCCC
059000046001010102001   5310 #0001    N 099314QBADAEBBAADEDEBADDCADCBECBDADABBABCBDCAADABCEEBCCBADCAECDBCDE
059000047001010102001   5310 #0001    N 099369QACEACADABEEDBBEAEEAECCABCAEBAEECEEBECBCCBBDECDECCEBCDDBDAEBC
059000048001010102001   5310 #0001    N 099315Q CAACBA BC CCDBDBD EA AC   E  EBDBCABBD D DA CBB DA A   A A 
059000049001010102001   5310 #0001    N 099316QEDECDCBBBABAACADEDDABCADBDEAABECAEAECBECCEBACEBCEEBBBADABECB
